hashed_id,rider_id,driver_id,fare,estimated_fare,ride_duration,estimated_ride_duration,ride_distance,estimated_ride_distance,status,rating,drivers_tried,undiscounted_fare,review_requested,discount,canceled_by,payment_type,status_rec,driver_assigned,canceled_by_type
94FM29,66781,657196,47,122,2097,996,3495,6386,COMPLETED,0,"3628126,6377607,55518,657196,",94,0,47,,1,1,1,0
94DPEH,3996452,1015536,26,52,405,663,2564,2564,COMPLETED,0,"1015536,",52,0,26,,1,1,1,0
94EQO9,2252791,3285255,215,227,3395,2036,10149,13693,COMPLETED,4,"3859456,3285255,",239,0,24,,1,1,1,0
94F7BE,913313,7171495,187,200,2901,1912,12622,13240,COMPLETED,5,"7392960,3543861,3630402,7506615,4002949,7326973,4373435,7171495,",208,0,21,,1,1,1,0
94FFPF,987613,2358935,46,85,1464,696,3488,3488,COMPLETED,5,"151876,1329340,6190197,2358935,",92,0,46,,1,1,1,0
94B516,1497497,1258891,268,298,3106,3009,25000,25000,COMPLETED,5,"1258891,",298,0,30,,1,1,1,0
94DDS9,7627036,2166135,44,88,1229,1063,4510,5772,COMPLETED,5,"3987210,471809,4148359,2166135,",88,0,44,,1,1,1,0
94E0BM,97654,2463585,35,70,779,900,4181,4181,COMPLETED,5,"2463585,",70,0,35,,1,1,1,0
94FSFF,320178,5339244,46,92,641,887,4090,4303,COMPLETED,0,"49825,5339244,",92,0,46,,1,1,1,0
94G1CT,166734,2208853,45,87,1237,826,4234,4234,COMPLETED,0,"7048572,2208853,",90,0,45,,1,1,1,0
94BRI7,1736253,2752198,36,73,666,532,2606,2606,COMPLETED,5,"2871029,2752198,",73,0,36,,1,1,1,0
94DAS8,3269434,6798285,202,217,3379,2154,17992,17654,COMPLETED,0,"6798285,",225,0,22,,1,1,1,0
94E6OP,7055658,7745563,44,88,1178,1119,5782,5782,COMPLETED,5,"7745563,",88,0,44,,1,1,1,0
94EHLT,1244268,4424449,34,85,934,989,2956,4316,COMPLETED,5,"6064718,4424449,",68,0,34,,1,1,1,0
94F3KD,718434,1530871,29,59,552,667,2076,2076,COMPLETED,1,"5995679,122457,4579683,1530871,",59,0,29,,1,1,1,0
94F7MD,533500,3537152,49,98,739,869,4679,4679,COMPLETED,0,"6440692,3068053,7064792,3537152,",98,0,49,,1,1,1,0
94DLLN,4672536,6492860,29,58,472,659,3166,3166,COMPLETED,5,"401993,6492860,",58,0,29,,1,1,1,0
94DMHD,131287,825191,34,67,1052,756,3913,3913,COMPLETED,5,"6132030,583097,1900066,825191,",69,0,34,,1,1,1,0
94DPE7,2600792,5728162,38,76,950,1025,4645,4645,COMPLETED,5,"6986048,2168654,5728162,",76,0,38,,1,1,1,0
94E1RN,3346608,7554129,32,63,470,751,3616,3616,COMPLETED,4,"6654835,5361907,4147912,7554129,",63,0,32,,1,1,1,0
94F720,1505240,5653079,36,159,2390,1328,1258,8048,COMPLETED,5,"2552277,4134836,7178447,5653079,",72,1,36,,1,1,1,0
94FRSA,6458049,7060512,186,201,3100,2256,16014,16014,COMPLETED,5,"109585,7060512,",206,0,21,,1,1,1,0
94BH9J,918906,4224164,196,207,2845,1841,11028,11028,COMPLETED,5,"4224164,",217,0,22,,1,1,1,0
94CG7B,4408906,1456520,35,71,836,1086,4093,4093,COMPLETED,5,"130714,1456520,",71,0,35,,1,1,1,0
94DBPL,998098,284837,30,60,575,672,3373,3373,COMPLETED,5,"284837,",60,0,30,,1,1,1,0
94B3M7,2216299,4964978,45,90,781,1179,5903,5968,COMPLETED,0,"7577760,4964978,",90,0,45,,1,1,1,0
94DJ9T,5113409,7559769,243,251,5071,2416,22462,20889,COMPLETED,0,"7559769,",270,0,27,,1,1,1,0
94E3FN,67309,7144996,45,89,1200,1013,5947,5947,COMPLETED,5,"1729293,7400309,2197605,6111161,7243197,7144996,",89,0,45,,1,1,1,0
94FTBR,852291,6573688,41,82,1185,951,5261,5261,COMPLETED,0,"5305175,2101451,7635506,6573688,",82,0,41,,1,1,1,0
94G1PG,2235202,611034,29,59,622,736,3358,3179,COMPLETED,5,"567806,611034,",59,0,29,,1,1,1,0
94D05O,790306,3143162,31,62,817,859,2726,3406,COMPLETED,0,"3076040,1313403,1161432,450127,1246128,368679,3143162,",62,0,31,,1,1,1,0
94DA3L,318631,7221672,39,78,1069,900,4662,4970,COMPLETED,0,"7221672,",78,0,39,,1,1,1,0
94FT60,7804832,3691404,41,81,1062,868,5287,5287,COMPLETED,5,"626795,3691404,",81,0,41,,1,1,1,0
94G48E,645190,6723802,49,95,1666,1197,6398,6398,COMPLETED,0,"1386581,7326137,729816,6723802,",98,0,49,,1,1,1,0
94BIEP,2619826,3238384,197,219,2182,2217,14615,14615,COMPLETED,0,"3238384,",219,0,22,,1,1,1,0
94CHI3,7427296,3593550,34,68,479,647,3161,3161,COMPLETED,5,"6188076,4171292,4711896,3593550,",68,0,34,,1,1,1,0
94CTSA,7764494,6280999,46,127,1400,1485,5902,9333,COMPLETED,5,"2168654,7138068,7100480,7725856,6280999,",91,0,46,,1,1,1,0
94DHHH,367641,5986519,40,80,1190,918,5148,5148,COMPLETED,5,"6045756,7555252,199951,5986519,",80,0,40,,1,1,1,0
