"","fare","estimated_fare","estimated_ride_duration","estimated_ride_distance","canceled_by_type","driver_assigned","status_rec"
"fare",1,0.291253769166665,0.33375976021566,0.344303602105045,-0.668079873155296,0.176092064245213,-0.824511587776955
"estimated_fare",0.291253769166665,1,0.87950544228886,0.91350196526229,0.0879046014270695,-0.139755089763786,0.0394310896581894
"estimated_ride_duration",0.33375976021566,0.87950544228886,1,0.951621196257593,-0.000347904571861835,-0.117474205086356,-0.0476437019357156
"estimated_ride_distance",0.344303602105045,0.91350196526229,0.951621196257593,1,-0.0127741358941882,-0.113859515562783,-0.0445802679846823
"canceled_by_type",-0.668079873155296,0.0879046014270695,-0.000347904571861835,-0.0127741358941882,1,-0.269711216616385,0.810273479547535
"driver_assigned",0.176092064245213,-0.139755089763786,-0.117474205086356,-0.113859515562783,-0.269711216616385,1,-0.213571363769418
"status_rec",-0.824511587776955,0.0394310896581894,-0.0476437019357156,-0.0445802679846823,0.810273479547535,-0.213571363769418,1
